Epoch 0    Validation MSELoss: 1.395439e-02    Training MSELoss: 1.121209e-02
Epoch 1    Validation MSELoss: 9.654977e-03    Training MSELoss: 1.707691e-02
Epoch 2    Validation MSELoss: 1.331135e-02    Training MSELoss: 1.297892e-02
Epoch 3    Validation MSELoss: 2.084905e-02    Training MSELoss: 1.197539e-02
Epoch 4    Validation MSELoss: 9.892074e-03    Training MSELoss: 1.081770e-02
Epoch 5    Validation MSELoss: 1.596833e-02    Training MSELoss: 9.282217e-03
Epoch 6    Validation MSELoss: 4.086277e-02    Training MSELoss: 8.275112e-03
Epoch 7    Validation MSELoss: 3.855888e-02    Training MSELoss: 7.107053e-03
Epoch 8    Validation MSELoss: 3.180346e-02    Training MSELoss: 3.957544e-02
Epoch 9    Validation MSELoss: 6.601724e-02    Training MSELoss: 7.420958e-03
Epoch 10    Validation MSELoss: 6.502373e-02    Training MSELoss: 6.282464e-03
Epoch 11    Validation MSELoss: 4.692596e-02    Training MSELoss: 4.813988e-03
Epoch 12    Validation MSELoss: 1.645068e-02    Training MSELoss: 4.866337e-03
Epoch 13    Validation MSELoss: 4.730284e-03    Training MSELoss: 5.708992e-03
Epoch 14    Validation MSELoss: 9.704377e-03    Training MSELoss: 5.062735e-03
Epoch 15    Validation MSELoss: 4.001566e-03    Training MSELoss: 2.865605e-03
Epoch 16    Validation MSELoss: 4.639747e-03    Training MSELoss: 3.472137e-02
Epoch 17    Validation MSELoss: 1.069406e-03    Training MSELoss: 2.252286e-03
Epoch 18    Validation MSELoss: 1.162124e-03    Training MSELoss: 1.924484e-03
Epoch 19    Validation MSELoss: 2.709879e-04    Training MSELoss: 1.787711e-03
