Epoch 0    Validation MSELoss: 4.333817e-01    Training MSELoss: 4.677305e-01
Epoch 1    Validation MSELoss: 3.549672e-01    Training MSELoss: 3.547107e-01
Epoch 2    Validation MSELoss: 1.605480e-01    Training MSELoss: 1.645021e-01
Epoch 3    Validation MSELoss: 8.958117e-03    Training MSELoss: 1.728017e-02
Epoch 4    Validation MSELoss: 8.602571e-03    Training MSELoss: 8.249846e-03
Epoch 5    Validation MSELoss: 9.117286e-03    Training MSELoss: 5.073707e-02
Epoch 6    Validation MSELoss: 6.337788e-03    Training MSELoss: 1.359961e-02
Epoch 7    Validation MSELoss: 5.726985e-03    Training MSELoss: 8.109467e-03
Epoch 8    Validation MSELoss: 5.217812e-03    Training MSELoss: 6.521709e-03
Epoch 9    Validation MSELoss: 4.833913e-03    Training MSELoss: 5.964631e-03
Epoch 10    Validation MSELoss: 4.087919e-03    Training MSELoss: 5.001995e-03
Epoch 11    Validation MSELoss: 4.090198e-03    Training MSELoss: 9.679802e-03
Epoch 12    Validation MSELoss: 3.084153e-03    Training MSELoss: 3.694625e-03
Epoch 13    Validation MSELoss: 2.806083e-03    Training MSELoss: 2.594125e-03
Epoch 14    Validation MSELoss: 2.037962e-03    Training MSELoss: 9.503847e-03
Epoch 15    Validation MSELoss: 1.673633e-03    Training MSELoss: 1.721137e-03
Epoch 16    Validation MSELoss: 1.270329e-03    Training MSELoss: 6.633002e-03
Epoch 17    Validation MSELoss: 1.070213e-03    Training MSELoss: 1.364611e-03
Epoch 18    Validation MSELoss: 9.820356e-04    Training MSELoss: 9.977665e-04
Epoch 19    Validation MSELoss: 9.527658e-04    Training MSELoss: 9.247820e-04
