Epoch 0    Validation MSELoss: 2.343675e-02    Training MSELoss: 1.005952e-02
Epoch 1    Validation MSELoss: 1.279059e-02    Training MSELoss: 1.087202e-02
Epoch 2    Validation MSELoss: 3.120910e-02    Training MSELoss: 9.373089e-02
Epoch 3    Validation MSELoss: 3.540443e-02    Training MSELoss: 1.297398e-02
Epoch 4    Validation MSELoss: 3.347715e-02    Training MSELoss: 1.359895e-02
Epoch 5    Validation MSELoss: 2.502567e-02    Training MSELoss: 1.029628e-02
Epoch 6    Validation MSELoss: 9.853112e-02    Training MSELoss: 3.585827e-02
Epoch 7    Validation MSELoss: 3.211977e-02    Training MSELoss: 7.983287e-02
Epoch 8    Validation MSELoss: 5.430544e-02    Training MSELoss: 9.751068e-03
Epoch 9    Validation MSELoss: 4.832792e-02    Training MSELoss: 6.689346e-03
Epoch 10    Validation MSELoss: 4.948405e-02    Training MSELoss: 6.587700e-03
Epoch 11    Validation MSELoss: 3.690974e-02    Training MSELoss: 5.710176e-03
Epoch 12    Validation MSELoss: 2.360810e-02    Training MSELoss: 5.571582e-03
Epoch 13    Validation MSELoss: 1.049703e-02    Training MSELoss: 8.984110e-03
Epoch 14    Validation MSELoss: 2.258534e-02    Training MSELoss: 4.670238e-03
Epoch 15    Validation MSELoss: 1.431927e-02    Training MSELoss: 3.886573e-03
Epoch 16    Validation MSELoss: 2.740500e-03    Training MSELoss: 3.995584e-03
Epoch 17    Validation MSELoss: 9.643793e-04    Training MSELoss: 1.144701e-02
Epoch 18    Validation MSELoss: 1.402664e-03    Training MSELoss: 2.721203e-03
Epoch 19    Validation MSELoss: 1.613445e-04    Training MSELoss: 2.765046e-03
