Epoch 0    Validation MSELoss: 9.526579e-01    Training MSELoss: 9.540144e-01
Epoch 1    Validation MSELoss: 6.699954e-01    Training MSELoss: 6.795291e-01
Epoch 2    Validation MSELoss: 3.187225e-01    Training MSELoss: 3.295502e-01
Epoch 3    Validation MSELoss: 1.639518e-01    Training MSELoss: 5.016627e-01
Epoch 4    Validation MSELoss: 2.766133e-02    Training MSELoss: 3.018352e-02
Epoch 5    Validation MSELoss: 4.688256e-03    Training MSELoss: 5.341071e-03
Epoch 6    Validation MSELoss: 1.962802e-03    Training MSELoss: 1.389353e-02
Epoch 7    Validation MSELoss: 1.222520e-03    Training MSELoss: 1.494284e-03
Epoch 8    Validation MSELoss: 8.622846e-04    Training MSELoss: 2.612148e-03
Epoch 9    Validation MSELoss: 6.634982e-04    Training MSELoss: 7.968401e-04
Epoch 10    Validation MSELoss: 5.298987e-04    Training MSELoss: 5.456978e-03
Epoch 11    Validation MSELoss: 4.497783e-04    Training MSELoss: 6.324452e-04
Epoch 12    Validation MSELoss: 3.934916e-04    Training MSELoss: 3.611216e-04
Epoch 13    Validation MSELoss: 3.495402e-04    Training MSELoss: 1.567707e-01
Epoch 14    Validation MSELoss: 3.233253e-04    Training MSELoss: 6.711511e-04
Epoch 15    Validation MSELoss: 3.035512e-04    Training MSELoss: 1.946508e-02
Epoch 16    Validation MSELoss: 2.943605e-04    Training MSELoss: 2.088632e-03
Epoch 17    Validation MSELoss: 2.883066e-04    Training MSELoss: 3.817216e-04
Epoch 18    Validation MSELoss: 2.852555e-04    Training MSELoss: 2.117005e-01
Epoch 19    Validation MSELoss: 2.847936e-04    Training MSELoss: 2.773671e-04
