Epoch 0    Validation MSELoss: 6.220724e-02    Training MSELoss: 7.177486e-02
Epoch 1    Validation MSELoss: 1.517248e-02    Training MSELoss: 2.045791e-02
Epoch 2    Validation MSELoss: 6.868987e-03    Training MSELoss: 1.141140e-02
Epoch 3    Validation MSELoss: 4.035996e-03    Training MSELoss: 8.432947e-03
Epoch 4    Validation MSELoss: 3.340735e-03    Training MSELoss: 5.908481e-03
Epoch 5    Validation MSELoss: 5.014933e-03    Training MSELoss: 5.570964e-03
Epoch 6    Validation MSELoss: 2.256118e-02    Training MSELoss: 4.822138e-03
Epoch 7    Validation MSELoss: 2.773716e-03    Training MSELoss: 4.168311e-03
Epoch 8    Validation MSELoss: 2.257529e-03    Training MSELoss: 4.247031e-03
Epoch 9    Validation MSELoss: 1.745646e-03    Training MSELoss: 4.363341e-03
Epoch 10    Validation MSELoss: 8.755813e-04    Training MSELoss: 3.599283e-03
Epoch 11    Validation MSELoss: 1.945554e-03    Training MSELoss: 3.310469e-03
Epoch 12    Validation MSELoss: 8.387982e-04    Training MSELoss: 3.019209e-03
Epoch 13    Validation MSELoss: 8.188402e-04    Training MSELoss: 4.376224e-03
Epoch 14    Validation MSELoss: 6.435956e-04    Training MSELoss: 2.914981e-03
Epoch 15    Validation MSELoss: 7.609336e-04    Training MSELoss: 2.645700e-03
Epoch 16    Validation MSELoss: 3.629780e-04    Training MSELoss: 2.299136e-03
Epoch 17    Validation MSELoss: 4.208809e-04    Training MSELoss: 2.561107e-03
Epoch 18    Validation MSELoss: 3.209664e-04    Training MSELoss: 2.238131e-03
Epoch 19    Validation MSELoss: 3.954828e-04    Training MSELoss: 1.994300e-02
