Epoch 0    Validation MSELoss: 2.167872e-03    Training MSELoss: 2.830114e-03
Epoch 1    Validation MSELoss: 7.562995e-04    Training MSELoss: 8.190583e-02
Epoch 2    Validation MSELoss: 2.402678e-03    Training MSELoss: 5.692759e-03
Epoch 3    Validation MSELoss: 2.599732e-03    Training MSELoss: 2.484329e-03
Epoch 4    Validation MSELoss: 2.894753e-03    Training MSELoss: 3.364534e-03
Epoch 5    Validation MSELoss: 1.376578e-03    Training MSELoss: 5.717876e-02
Epoch 6    Validation MSELoss: 2.982073e-03    Training MSELoss: 6.000900e-03
Epoch 7    Validation MSELoss: 1.163836e-03    Training MSELoss: 2.952895e-03
Epoch 8    Validation MSELoss: 7.006066e-04    Training MSELoss: 2.059537e-03
Epoch 9    Validation MSELoss: 7.337113e-04    Training MSELoss: 3.164367e-03
Epoch 10    Validation MSELoss: 1.765326e-03    Training MSELoss: 9.555767e-04
Epoch 11    Validation MSELoss: 9.817518e-04    Training MSELoss: 7.150112e-04
Epoch 12    Validation MSELoss: 2.421700e-04    Training MSELoss: 6.344698e-04
Epoch 13    Validation MSELoss: 2.225841e-04    Training MSELoss: 3.370263e-04
Epoch 14    Validation MSELoss: 1.303522e-04    Training MSELoss: 1.307334e-04
Epoch 15    Validation MSELoss: 8.555441e-05    Training MSELoss: 1.037329e-04
Epoch 16    Validation MSELoss: 5.286822e-05    Training MSELoss: 4.613533e-05
Epoch 17    Validation MSELoss: 4.210694e-05    Training MSELoss: 3.194112e-05
Epoch 18    Validation MSELoss: 3.675988e-05    Training MSELoss: 2.223623e-01
Epoch 19    Validation MSELoss: 3.383432e-05    Training MSELoss: 5.763272e-05
