Epoch 0    Validation MSELoss: 1.082897e-02    Training MSELoss: 1.423571e-02
Epoch 1    Validation MSELoss: 6.959014e-03    Training MSELoss: 8.434382e-03
Epoch 2    Validation MSELoss: 1.733296e-02    Training MSELoss: 7.880935e-03
Epoch 3    Validation MSELoss: 5.704097e-03    Training MSELoss: 8.877094e-02
Epoch 4    Validation MSELoss: 5.345718e-03    Training MSELoss: 6.802653e-03
Epoch 5    Validation MSELoss: 6.287034e-03    Training MSELoss: 6.058345e-03
Epoch 6    Validation MSELoss: 1.095294e-02    Training MSELoss: 5.570519e-03
Epoch 7    Validation MSELoss: 6.448952e-03    Training MSELoss: 5.703376e-03
Epoch 8    Validation MSELoss: 2.895535e-03    Training MSELoss: 5.075403e-03
Epoch 9    Validation MSELoss: 4.102123e-03    Training MSELoss: 5.034126e-03
Epoch 10    Validation MSELoss: 1.532743e-03    Training MSELoss: 2.915781e-02
Epoch 11    Validation MSELoss: 6.953514e-02    Training MSELoss: 1.118703e-01
Epoch 12    Validation MSELoss: 3.011337e-03    Training MSELoss: 4.679599e-03
Epoch 13    Validation MSELoss: 1.309428e-03    Training MSELoss: 4.072358e-03
Epoch 14    Validation MSELoss: 1.252764e-03    Training MSELoss: 3.807445e-03
Epoch 15    Validation MSELoss: 1.455412e-03    Training MSELoss: 3.184756e-03
Epoch 16    Validation MSELoss: 1.338663e-03    Training MSELoss: 2.828310e-03
Epoch 17    Validation MSELoss: 3.605074e-04    Training MSELoss: 2.648010e-03
Epoch 18    Validation MSELoss: 1.790835e-04    Training MSELoss: 8.906666e-03
Epoch 19    Validation MSELoss: 3.137011e-04    Training MSELoss: 7.743420e-03
