Epoch 0    Validation MSELoss: 1.161231e-02    Training MSELoss: 1.072292e-02
Epoch 1    Validation MSELoss: 9.088531e-03    Training MSELoss: 8.752340e-03
Epoch 2    Validation MSELoss: 1.418909e-02    Training MSELoss: 1.989660e-02
Epoch 3    Validation MSELoss: 6.833262e-03    Training MSELoss: 9.741246e-03
Epoch 4    Validation MSELoss: 2.097843e-02    Training MSELoss: 1.021673e-02
Epoch 5    Validation MSELoss: 2.713714e-02    Training MSELoss: 9.761023e-03
Epoch 6    Validation MSELoss: 2.893358e-02    Training MSELoss: 8.468825e-03
Epoch 7    Validation MSELoss: 2.622370e-02    Training MSELoss: 8.145185e-03
Epoch 8    Validation MSELoss: 3.392033e-02    Training MSELoss: 7.428828e-03
Epoch 9    Validation MSELoss: 4.501277e-02    Training MSELoss: 6.389486e-03
Epoch 10    Validation MSELoss: 1.176615e-01    Training MSELoss: 5.948564e-03
Epoch 11    Validation MSELoss: 3.714833e-02    Training MSELoss: 5.622601e-03
Epoch 12    Validation MSELoss: 8.904508e-02    Training MSELoss: 5.197731e-03
Epoch 13    Validation MSELoss: 8.804287e-03    Training MSELoss: 2.782470e-02
Epoch 14    Validation MSELoss: 7.731100e-03    Training MSELoss: 3.167286e-02
Epoch 15    Validation MSELoss: 8.416835e-02    Training MSELoss: 2.671054e-01
Epoch 16    Validation MSELoss: 3.883317e-03    Training MSELoss: 2.746649e-02
Epoch 17    Validation MSELoss: 2.185547e-03    Training MSELoss: 3.130145e-03
Epoch 18    Validation MSELoss: 1.373038e-04    Training MSELoss: 2.545967e-03
Epoch 19    Validation MSELoss: 3.030852e-04    Training MSELoss: 2.534828e-03
