Epoch 0    Validation MSELoss: 2.023830e-02    Training MSELoss: 2.462499e-02
Epoch 1    Validation MSELoss: 7.152663e-03    Training MSELoss: 1.008718e-02
Epoch 2    Validation MSELoss: 4.351071e-03    Training MSELoss: 2.883705e-02
Epoch 3    Validation MSELoss: 8.336130e-03    Training MSELoss: 6.691039e-03
Epoch 4    Validation MSELoss: 3.314166e-03    Training MSELoss: 5.809999e-03
Epoch 5    Validation MSELoss: 5.246879e-03    Training MSELoss: 1.240044e-02
Epoch 6    Validation MSELoss: 3.678581e-03    Training MSELoss: 5.360335e-03
Epoch 7    Validation MSELoss: 2.546358e-03    Training MSELoss: 5.035121e-03
Epoch 8    Validation MSELoss: 3.579693e-03    Training MSELoss: 5.347508e-03
Epoch 9    Validation MSELoss: 3.623406e-03    Training MSELoss: 3.965034e-03
Epoch 10    Validation MSELoss: 1.812387e-03    Training MSELoss: 3.719834e-03
Epoch 11    Validation MSELoss: 1.650555e-03    Training MSELoss: 3.183808e-03
Epoch 12    Validation MSELoss: 1.076931e-03    Training MSELoss: 3.162775e-03
Epoch 13    Validation MSELoss: 1.645908e-03    Training MSELoss: 3.484475e-03
Epoch 14    Validation MSELoss: 5.857681e-04    Training MSELoss: 1.789558e-02
Epoch 15    Validation MSELoss: 7.157971e-04    Training MSELoss: 3.562740e-03
Epoch 16    Validation MSELoss: 3.336116e-04    Training MSELoss: 1.364063e-02
Epoch 17    Validation MSELoss: 4.403761e-04    Training MSELoss: 2.209584e-03
Epoch 18    Validation MSELoss: 3.094838e-04    Training MSELoss: 2.574439e-03
Epoch 19    Validation MSELoss: 3.555138e-04    Training MSELoss: 1.647846e-02
