Epoch 0    Validation MSELoss: 8.398830e-03    Training MSELoss: 9.138528e-03
Epoch 1    Validation MSELoss: 1.479206e-02    Training MSELoss: 1.245882e-01
Epoch 2    Validation MSELoss: 1.234120e-02    Training MSELoss: 1.263189e-02
Epoch 3    Validation MSELoss: 1.740487e-02    Training MSELoss: 1.138812e-02
Epoch 4    Validation MSELoss: 1.337146e-02    Training MSELoss: 1.065216e-02
Epoch 5    Validation MSELoss: 1.580832e-02    Training MSELoss: 8.725399e-03
Epoch 6    Validation MSELoss: 4.695740e-02    Training MSELoss: 8.599075e-03
Epoch 7    Validation MSELoss: 3.724059e-02    Training MSELoss: 8.039149e-03
Epoch 8    Validation MSELoss: 5.735916e-03    Training MSELoss: 1.357523e-02
Epoch 9    Validation MSELoss: 2.654397e-02    Training MSELoss: 5.333656e-03
Epoch 10    Validation MSELoss: 1.526271e-02    Training MSELoss: 1.455865e-01
Epoch 11    Validation MSELoss: 1.355356e-02    Training MSELoss: 2.050770e-02
Epoch 12    Validation MSELoss: 2.679250e-02    Training MSELoss: 3.766360e-03
Epoch 13    Validation MSELoss: 1.964582e-01    Training MSELoss: 3.637583e-03
Epoch 14    Validation MSELoss: 1.385555e-02    Training MSELoss: 3.271277e-03
Epoch 15    Validation MSELoss: 3.253526e-02    Training MSELoss: 2.804875e-02
Epoch 16    Validation MSELoss: 5.180369e-03    Training MSELoss: 2.087442e-03
Epoch 17    Validation MSELoss: 1.978885e-03    Training MSELoss: 1.920640e-03
Epoch 18    Validation MSELoss: 6.065322e-04    Training MSELoss: 1.256159e-02
Epoch 19    Validation MSELoss: 3.674714e-04    Training MSELoss: 2.071077e-02
