Epoch 0    Validation MSELoss: 4.296345e-03    Training MSELoss: 1.221763e-02
Epoch 1    Validation MSELoss: 2.013651e-03    Training MSELoss: 2.437908e-03
Epoch 2    Validation MSELoss: 1.243926e-03    Training MSELoss: 1.413172e-03
Epoch 3    Validation MSELoss: 8.665684e-04    Training MSELoss: 9.534886e-04
Epoch 4    Validation MSELoss: 6.722652e-04    Training MSELoss: 7.313406e-04
Epoch 5    Validation MSELoss: 5.438784e-04    Training MSELoss: 5.973998e-04
Epoch 6    Validation MSELoss: 4.501974e-04    Training MSELoss: 4.934474e-04
Epoch 7    Validation MSELoss: 4.105141e-04    Training MSELoss: 4.382083e-04
Epoch 8    Validation MSELoss: 3.381745e-04    Training MSELoss: 3.859535e-04
Epoch 9    Validation MSELoss: 3.437108e-04    Training MSELoss: 3.522228e-04
Epoch 10    Validation MSELoss: 3.292894e-04    Training MSELoss: 3.206958e-04
Epoch 11    Validation MSELoss: 2.872121e-04    Training MSELoss: 3.046568e-04
Epoch 12    Validation MSELoss: 2.628733e-04    Training MSELoss: 2.912632e-04
Epoch 13    Validation MSELoss: 2.685875e-04    Training MSELoss: 2.634581e-04
Epoch 14    Validation MSELoss: 2.141472e-04    Training MSELoss: 2.536542e-04
Epoch 15    Validation MSELoss: 1.989111e-04    Training MSELoss: 2.340981e-04
Epoch 16    Validation MSELoss: 1.828455e-04    Training MSELoss: 2.258374e-04
Epoch 17    Validation MSELoss: 1.990862e-04    Training MSELoss: 2.311628e-04
Epoch 18    Validation MSELoss: 1.637721e-04    Training MSELoss: 2.075096e-04
Epoch 19    Validation MSELoss: 1.863377e-04    Training MSELoss: 1.983070e-04
Epoch 20    Validation MSELoss: 2.135596e-04    Training MSELoss: 1.802235e-04
Epoch 21    Validation MSELoss: 2.356055e-04    Training MSELoss: 1.818100e-04
Epoch 22    Validation MSELoss: 1.941244e-04    Training MSELoss: 1.737787e-04
Epoch 23    Validation MSELoss: 1.874952e-04    Training MSELoss: 1.788436e-04
Epoch 24    Validation MSELoss: 2.197620e-04    Training MSELoss: 1.646144e-04
Epoch 25    Validation MSELoss: 1.424850e-04    Training MSELoss: 1.695769e-04
Epoch 26    Validation MSELoss: 1.589960e-04    Training MSELoss: 1.689563e-04
Epoch 27    Validation MSELoss: 1.280534e-04    Training MSELoss: 1.608528e-04
Epoch 28    Validation MSELoss: 1.231929e-04    Training MSELoss: 1.565393e-04
Epoch 29    Validation MSELoss: 1.853270e-04    Training MSELoss: 1.569254e-04
Epoch 30    Validation MSELoss: 1.848396e-04    Training MSELoss: 1.513250e-04
Epoch 31    Validation MSELoss: 1.836740e-04    Training MSELoss: 1.588584e-04
Epoch 32    Validation MSELoss: 1.425459e-04    Training MSELoss: 1.515006e-04
Epoch 33    Validation MSELoss: 1.201889e-04    Training MSELoss: 1.360668e-04
Epoch 34    Validation MSELoss: 1.133492e-04    Training MSELoss: 1.460015e-04
Epoch 35    Validation MSELoss: 1.543270e-04    Training MSELoss: 1.457624e-04
Epoch 36    Validation MSELoss: 1.800061e-04    Training MSELoss: 1.468695e-04
Epoch 37    Validation MSELoss: 1.486156e-04    Training MSELoss: 1.387743e-04
Epoch 38    Validation MSELoss: 1.948845e-04    Training MSELoss: 1.412180e-04
Epoch 39    Validation MSELoss: 1.605878e-04    Training MSELoss: 1.375695e-04
Epoch 40    Validation MSELoss: 1.301254e-04    Training MSELoss: 1.275223e-04
