Epoch 0    Validation MSELoss: 8.045805e-02    Training MSELoss: 1.827942e-01
Epoch 1    Validation MSELoss: 3.774688e-02    Training MSELoss: 4.278321e-02
Epoch 2    Validation MSELoss: 1.976289e-02    Training MSELoss: 2.439453e-02
Epoch 3    Validation MSELoss: 1.576743e-02    Training MSELoss: 2.136762e-02
Epoch 4    Validation MSELoss: 1.021156e-02    Training MSELoss: 1.245975e-02
Epoch 5    Validation MSELoss: 6.717526e-03    Training MSELoss: 1.074206e-02
Epoch 6    Validation MSELoss: 6.041915e-03    Training MSELoss: 7.347453e-03
Epoch 7    Validation MSELoss: 3.003057e-03    Training MSELoss: 5.880441e-03
Epoch 8    Validation MSELoss: 2.734394e-03    Training MSELoss: 4.800871e-03
Epoch 9    Validation MSELoss: 1.657938e-03    Training MSELoss: 4.700614e-03
Epoch 10    Validation MSELoss: 1.680040e-03    Training MSELoss: 4.614659e-03
Epoch 11    Validation MSELoss: 1.466525e-03    Training MSELoss: 3.495344e-03
Epoch 12    Validation MSELoss: 1.672562e-03    Training MSELoss: 3.663843e-03
Epoch 13    Validation MSELoss: 1.086899e-03    Training MSELoss: 3.281713e-03
Epoch 14    Validation MSELoss: 1.025897e-03    Training MSELoss: 2.724345e-03
Epoch 15    Validation MSELoss: 7.378011e-04    Training MSELoss: 1.369152e-02
Epoch 16    Validation MSELoss: 7.565423e-04    Training MSELoss: 2.431782e-03
Epoch 17    Validation MSELoss: 4.284194e-04    Training MSELoss: 4.601442e-03
Epoch 18    Validation MSELoss: 3.260121e-04    Training MSELoss: 2.770141e-03
Epoch 19    Validation MSELoss: 3.534658e-04    Training MSELoss: 2.261346e-03
