Epoch 0    Validation MSELoss: 7.617251e-03    Training MSELoss: 2.310472e-02
Epoch 1    Validation MSELoss: 7.334067e-03    Training MSELoss: 9.000417e-03
Epoch 2    Validation MSELoss: 6.388803e-03    Training MSELoss: 8.653964e-03
Epoch 3    Validation MSELoss: 6.384541e-03    Training MSELoss: 8.247533e-03
Epoch 4    Validation MSELoss: 5.847480e-03    Training MSELoss: 7.924585e-03
Epoch 5    Validation MSELoss: 9.549207e-03    Training MSELoss: 7.886388e-03
Epoch 6    Validation MSELoss: 3.443857e-03    Training MSELoss: 6.302338e-03
Epoch 7    Validation MSELoss: 8.224511e-03    Training MSELoss: 6.175979e-03
Epoch 8    Validation MSELoss: 4.216248e-03    Training MSELoss: 5.542316e-03
Epoch 9    Validation MSELoss: 2.960911e-03    Training MSELoss: 5.478508e-03
Epoch 10    Validation MSELoss: 6.339588e-03    Training MSELoss: 5.637209e-03
Epoch 11    Validation MSELoss: 7.651874e-03    Training MSELoss: 5.363229e-03
Epoch 12    Validation MSELoss: 2.319549e-03    Training MSELoss: 6.723616e-02
Epoch 13    Validation MSELoss: 1.308554e-03    Training MSELoss: 4.209013e-03
Epoch 14    Validation MSELoss: 2.883712e-03    Training MSELoss: 3.396829e-03
Epoch 15    Validation MSELoss: 8.055183e-04    Training MSELoss: 3.059111e-03
Epoch 16    Validation MSELoss: 5.374374e-04    Training MSELoss: 1.615501e-02
Epoch 17    Validation MSELoss: 3.603466e-04    Training MSELoss: 2.597333e-03
Epoch 18    Validation MSELoss: 3.820161e-04    Training MSELoss: 2.903662e-03
Epoch 19    Validation MSELoss: 2.357553e-04    Training MSELoss: 1.007326e-01
