Epoch 0    Validation MSELoss: 7.487824e-03    Training MSELoss: 1.181484e-02
Epoch 1    Validation MSELoss: 9.267926e-03    Training MSELoss: 1.108095e-02
Epoch 2    Validation MSELoss: 1.418712e-02    Training MSELoss: 6.313956e-02
Epoch 3    Validation MSELoss: 2.464684e-02    Training MSELoss: 1.736709e-02
Epoch 4    Validation MSELoss: 1.616027e-02    Training MSELoss: 1.071968e-02
Epoch 5    Validation MSELoss: 2.073842e-02    Training MSELoss: 2.523412e-02
Epoch 6    Validation MSELoss: 2.148786e-02    Training MSELoss: 4.608589e-02
Epoch 7    Validation MSELoss: 5.650070e-02    Training MSELoss: 1.107490e-01
Epoch 8    Validation MSELoss: 2.558329e-02    Training MSELoss: 7.163268e-03
Epoch 9    Validation MSELoss: 1.167097e-01    Training MSELoss: 5.626480e-03
Epoch 10    Validation MSELoss: 1.177441e-01    Training MSELoss: 5.471297e-03
Epoch 11    Validation MSELoss: 2.315172e-01    Training MSELoss: 4.727330e-03
Epoch 12    Validation MSELoss: 2.121242e-02    Training MSELoss: 4.963148e-03
Epoch 13    Validation MSELoss: 8.726715e-02    Training MSELoss: 4.603365e-03
Epoch 14    Validation MSELoss: 4.233135e-01    Training MSELoss: 5.381540e-03
Epoch 15    Validation MSELoss: 2.193125e-03    Training MSELoss: 7.441098e-03
Epoch 16    Validation MSELoss: 9.198681e-03    Training MSELoss: 3.598385e-03
Epoch 17    Validation MSELoss: 2.133881e-03    Training MSELoss: 2.726084e-03
Epoch 18    Validation MSELoss: 4.625704e-04    Training MSELoss: 2.776595e-03
Epoch 19    Validation MSELoss: 2.398993e-04    Training MSELoss: 4.219448e-02
