Epoch 0    Validation MSELoss: 1.686481e-02    Training MSELoss: 2.029371e-02
Epoch 1    Validation MSELoss: 5.467284e-03    Training MSELoss: 8.395527e-03
Epoch 2    Validation MSELoss: 4.514489e-03    Training MSELoss: 8.473152e-02
Epoch 3    Validation MSELoss: 4.050075e-03    Training MSELoss: 2.907828e-02
Epoch 4    Validation MSELoss: 7.006771e-03    Training MSELoss: 8.610741e-03
Epoch 5    Validation MSELoss: 6.499813e-03    Training MSELoss: 5.653826e-03
Epoch 6    Validation MSELoss: 3.431504e-03    Training MSELoss: 4.872591e-03
Epoch 7    Validation MSELoss: 2.118767e-01    Training MSELoss: 4.795085e-03
Epoch 8    Validation MSELoss: 1.261976e-02    Training MSELoss: 4.526817e-03
Epoch 9    Validation MSELoss: 5.222276e-03    Training MSELoss: 4.746350e-03
Epoch 10    Validation MSELoss: 5.759404e-03    Training MSELoss: 4.502992e-03
Epoch 11    Validation MSELoss: 7.027277e-03    Training MSELoss: 4.485514e-03
Epoch 12    Validation MSELoss: 3.127763e-03    Training MSELoss: 4.009439e-03
Epoch 13    Validation MSELoss: 1.345048e-03    Training MSELoss: 3.846849e-03
Epoch 14    Validation MSELoss: 2.989607e-03    Training MSELoss: 3.412789e-03
Epoch 15    Validation MSELoss: 6.690074e-04    Training MSELoss: 1.454927e-02
Epoch 16    Validation MSELoss: 8.434379e-04    Training MSELoss: 2.795382e-03
Epoch 17    Validation MSELoss: 4.808305e-04    Training MSELoss: 2.572921e-03
Epoch 18    Validation MSELoss: 2.170369e-04    Training MSELoss: 4.538306e-03
Epoch 19    Validation MSELoss: 1.360653e-04    Training MSELoss: 9.216798e-03
