Epoch 0    Validation MSELoss: 2.890734e-03    Training MSELoss: 3.495218e-03
Epoch 1    Validation MSELoss: 1.085608e-03    Training MSELoss: 4.376907e-03
Epoch 2    Validation MSELoss: 1.788954e-03    Training MSELoss: 5.575364e-03
Epoch 3    Validation MSELoss: 3.192713e-03    Training MSELoss: 5.147596e-03
Epoch 4    Validation MSELoss: 4.425798e-03    Training MSELoss: 6.765173e-03
Epoch 5    Validation MSELoss: 8.005425e-02    Training MSELoss: 1.530408e-01
Epoch 6    Validation MSELoss: 6.721131e-03    Training MSELoss: 6.745776e-03
Epoch 7    Validation MSELoss: 5.108447e-03    Training MSELoss: 5.037742e-03
Epoch 8    Validation MSELoss: 3.030681e-03    Training MSELoss: 6.090471e-03
Epoch 9    Validation MSELoss: 2.167001e-03    Training MSELoss: 4.466958e-02
Epoch 10    Validation MSELoss: 6.015454e-03    Training MSELoss: 2.859818e-03
Epoch 11    Validation MSELoss: 1.256100e-03    Training MSELoss: 3.574288e-03
Epoch 12    Validation MSELoss: 1.090478e-03    Training MSELoss: 2.076608e-03
Epoch 13    Validation MSELoss: 7.823853e-04    Training MSELoss: 4.327181e-02
Epoch 14    Validation MSELoss: 8.816025e-04    Training MSELoss: 5.755955e-04
Epoch 15    Validation MSELoss: 4.368524e-04    Training MSELoss: 6.073699e-04
Epoch 16    Validation MSELoss: 3.328508e-04    Training MSELoss: 3.120382e-02
Epoch 17    Validation MSELoss: 3.270386e-04    Training MSELoss: 1.107415e-01
Epoch 18    Validation MSELoss: 2.243260e-04    Training MSELoss: 1.077899e-03
Epoch 19    Validation MSELoss: 2.142794e-04    Training MSELoss: 1.294958e-01
