Epoch 0    Validation MSELoss: 7.914048e-03    Training MSELoss: 1.706610e-02
Epoch 1    Validation MSELoss: 6.908821e-03    Training MSELoss: 1.880392e-02
Epoch 2    Validation MSELoss: 5.866976e-03    Training MSELoss: 9.027311e-03
Epoch 3    Validation MSELoss: 7.386951e-03    Training MSELoss: 8.115304e-03
Epoch 4    Validation MSELoss: 9.190065e-03    Training MSELoss: 7.311539e-03
Epoch 5    Validation MSELoss: 4.100360e-03    Training MSELoss: 7.502061e-03
Epoch 6    Validation MSELoss: 5.329269e-03    Training MSELoss: 6.305194e-03
Epoch 7    Validation MSELoss: 3.732429e-03    Training MSELoss: 1.842177e-02
Epoch 8    Validation MSELoss: 2.813930e-03    Training MSELoss: 6.025513e-03
Epoch 9    Validation MSELoss: 1.350161e-03    Training MSELoss: 4.972875e-03
Epoch 10    Validation MSELoss: 5.507497e-03    Training MSELoss: 5.182646e-03
Epoch 11    Validation MSELoss: 1.981077e-03    Training MSELoss: 4.107045e-03
Epoch 12    Validation MSELoss: 1.695942e-03    Training MSELoss: 4.052553e-03
Epoch 13    Validation MSELoss: 1.167424e-03    Training MSELoss: 6.609801e-03
Epoch 14    Validation MSELoss: 1.308581e-03    Training MSELoss: 3.554924e-03
Epoch 15    Validation MSELoss: 1.593019e-02    Training MSELoss: 2.813256e-03
Epoch 16    Validation MSELoss: 8.069212e-04    Training MSELoss: 2.840477e-03
Epoch 17    Validation MSELoss: 2.731092e-04    Training MSELoss: 2.425303e-03
Epoch 18    Validation MSELoss: 2.189138e-04    Training MSELoss: 2.238455e-03
Epoch 19    Validation MSELoss: 2.807896e-04    Training MSELoss: 2.036973e-03
