Epoch 0    Validation MSELoss: 1.772008e-01    Training MSELoss: 1.921183e-01
Epoch 1    Validation MSELoss: 2.564277e-02    Training MSELoss: 3.073167e-02
Epoch 2    Validation MSELoss: 8.349090e-03    Training MSELoss: 1.304093e-02
Epoch 3    Validation MSELoss: 4.907325e-03    Training MSELoss: 8.307421e-03
Epoch 4    Validation MSELoss: 3.580276e-03    Training MSELoss: 3.220105e-02
Epoch 5    Validation MSELoss: 4.320414e-03    Training MSELoss: 4.162255e-02
Epoch 6    Validation MSELoss: 2.399763e-03    Training MSELoss: 3.089353e-02
Epoch 7    Validation MSELoss: 2.282308e-03    Training MSELoss: 2.052273e-02
Epoch 8    Validation MSELoss: 1.867412e-03    Training MSELoss: 5.046326e-03
Epoch 9    Validation MSELoss: 1.888945e-03    Training MSELoss: 4.529164e-03
Epoch 10    Validation MSELoss: 1.658906e-03    Training MSELoss: 4.071453e-03
Epoch 11    Validation MSELoss: 1.285261e-03    Training MSELoss: 4.177313e-03
Epoch 12    Validation MSELoss: 1.410146e-03    Training MSELoss: 1.884278e-02
Epoch 13    Validation MSELoss: 9.313780e-04    Training MSELoss: 3.345340e-03
Epoch 14    Validation MSELoss: 1.162371e-03    Training MSELoss: 3.520692e-03
Epoch 15    Validation MSELoss: 9.171237e-04    Training MSELoss: 3.333488e-03
Epoch 16    Validation MSELoss: 9.061260e-04    Training MSELoss: 3.405788e-03
Epoch 17    Validation MSELoss: 8.100757e-04    Training MSELoss: 3.135770e-03
Epoch 18    Validation MSELoss: 7.776258e-04    Training MSELoss: 3.088308e-02
Epoch 19    Validation MSELoss: 6.563506e-04    Training MSELoss: 3.037293e-03
