Epoch 0    Validation MSELoss: 1.390185e-02    Training MSELoss: 1.132322e-02
Epoch 1    Validation MSELoss: 1.254177e-02    Training MSELoss: 1.357945e-02
Epoch 2    Validation MSELoss: 1.652559e-02    Training MSELoss: 1.854941e-02
Epoch 3    Validation MSELoss: 1.815254e-02    Training MSELoss: 3.178104e-02
Epoch 4    Validation MSELoss: 2.694421e-02    Training MSELoss: 1.116312e-02
Epoch 5    Validation MSELoss: 3.440300e-02    Training MSELoss: 8.666800e-03
Epoch 6    Validation MSELoss: 2.050731e-02    Training MSELoss: 7.307193e-03
Epoch 7    Validation MSELoss: 3.233453e-02    Training MSELoss: 7.252045e-03
Epoch 8    Validation MSELoss: 3.421760e-01    Training MSELoss: 1.894308e-01
Epoch 9    Validation MSELoss: 2.897382e-01    Training MSELoss: 6.760252e-03
Epoch 10    Validation MSELoss: 1.481449e-02    Training MSELoss: 5.764267e-03
Epoch 11    Validation MSELoss: 9.392631e-02    Training MSELoss: 5.040668e-03
Epoch 12    Validation MSELoss: 5.173958e-02    Training MSELoss: 4.539037e-03
Epoch 13    Validation MSELoss: 2.198863e-02    Training MSELoss: 4.218483e-03
Epoch 14    Validation MSELoss: 3.413428e-02    Training MSELoss: 3.435527e-03
Epoch 15    Validation MSELoss: 1.677112e-02    Training MSELoss: 2.954619e-03
Epoch 16    Validation MSELoss: 1.230554e-02    Training MSELoss: 2.683913e-03
Epoch 17    Validation MSELoss: 2.306828e-03    Training MSELoss: 2.312988e-03
Epoch 18    Validation MSELoss: 5.460732e-04    Training MSELoss: 2.044664e-03
Epoch 19    Validation MSELoss: 2.354434e-03    Training MSELoss: 1.043080e-01
