Epoch 0    Validation MSELoss: 1.042339e-02    Training MSELoss: 3.972897e-02
Epoch 1    Validation MSELoss: 6.272676e-03    Training MSELoss: 4.796251e-02
Epoch 2    Validation MSELoss: 6.529764e-03    Training MSELoss: 1.838247e-02
Epoch 3    Validation MSELoss: 6.539362e-03    Training MSELoss: 3.926295e-02
Epoch 4    Validation MSELoss: 6.956406e-03    Training MSELoss: 7.755998e-03
Epoch 5    Validation MSELoss: 6.532790e-03    Training MSELoss: 6.052443e-03
Epoch 6    Validation MSELoss: 6.022660e-03    Training MSELoss: 7.970147e-03
Epoch 7    Validation MSELoss: 1.767485e-03    Training MSELoss: 7.067364e-02
Epoch 8    Validation MSELoss: 4.064395e-03    Training MSELoss: 1.823897e-02
Epoch 9    Validation MSELoss: 6.684642e-03    Training MSELoss: 5.292981e-03
Epoch 10    Validation MSELoss: 1.711455e-03    Training MSELoss: 5.976974e-03
Epoch 11    Validation MSELoss: 2.957059e-03    Training MSELoss: 1.402153e-02
Epoch 12    Validation MSELoss: 1.099232e-02    Training MSELoss: 1.068304e-02
Epoch 13    Validation MSELoss: 5.935510e-03    Training MSELoss: 3.511380e-02
Epoch 14    Validation MSELoss: 7.790389e-04    Training MSELoss: 4.092722e-03
Epoch 15    Validation MSELoss: 1.220681e-03    Training MSELoss: 3.220314e-03
Epoch 16    Validation MSELoss: 1.116341e-03    Training MSELoss: 3.278732e-03
Epoch 17    Validation MSELoss: 3.694207e-04    Training MSELoss: 3.822125e-03
Epoch 18    Validation MSELoss: 2.098106e-04    Training MSELoss: 2.951076e-03
Epoch 19    Validation MSELoss: 1.010851e-04    Training MSELoss: 2.841704e-03
