Epoch 0    Validation MSELoss: 5.477415e-01    Training MSELoss: 5.767100e-01
Epoch 1    Validation MSELoss: 1.858368e-01    Training MSELoss: 1.923220e-01
Epoch 2    Validation MSELoss: 1.288532e-02    Training MSELoss: 1.466332e-02
Epoch 3    Validation MSELoss: 2.302560e-03    Training MSELoss: 1.263446e-01
Epoch 4    Validation MSELoss: 7.920548e-04    Training MSELoss: 4.143070e-03
Epoch 5    Validation MSELoss: 4.170763e-04    Training MSELoss: 1.650022e-03
Epoch 6    Validation MSELoss: 3.088610e-04    Training MSELoss: 3.214129e-04
Epoch 7    Validation MSELoss: 2.269328e-04    Training MSELoss: 2.323597e-04
Epoch 8    Validation MSELoss: 1.898020e-04    Training MSELoss: 2.387595e-04
Epoch 9    Validation MSELoss: 1.555319e-04    Training MSELoss: 1.679273e-04
Epoch 10    Validation MSELoss: 1.518181e-04    Training MSELoss: 3.005335e-04
Epoch 11    Validation MSELoss: 1.172487e-04    Training MSELoss: 4.547963e-04
Epoch 12    Validation MSELoss: 1.027189e-04    Training MSELoss: 1.197280e-04
Epoch 13    Validation MSELoss: 9.528209e-05    Training MSELoss: 8.378142e-05
Epoch 14    Validation MSELoss: 8.691123e-05    Training MSELoss: 2.425269e-03
Epoch 15    Validation MSELoss: 8.189650e-05    Training MSELoss: 4.181044e-04
Epoch 16    Validation MSELoss: 7.597326e-05    Training MSELoss: 6.884762e-05
Epoch 17    Validation MSELoss: 7.308309e-05    Training MSELoss: 1.028250e-04
Epoch 18    Validation MSELoss: 7.152855e-05    Training MSELoss: 5.391335e-05
Epoch 19    Validation MSELoss: 7.100902e-05    Training MSELoss: 7.707404e-02
