Epoch 76    Validation MSELoss: 6.525401e-05    Training MSELoss: 1.086215e-04
Epoch 77    Validation MSELoss: 1.171197e-04    Training MSELoss: 1.047787e-04
Epoch 78    Validation MSELoss: 1.038435e-04    Training MSELoss: 1.131049e-04
Epoch 79    Validation MSELoss: 1.078476e-04    Training MSELoss: 1.081145e-04
Epoch 80    Validation MSELoss: 1.282295e-04    Training MSELoss: 1.041364e-04
Epoch 81    Validation MSELoss: 8.643752e-05    Training MSELoss: 1.129409e-04
Epoch 82    Validation MSELoss: 9.258522e-05    Training MSELoss: 1.000010e-04
Epoch 83    Validation MSELoss: 9.138571e-05    Training MSELoss: 1.085384e-04
Epoch 84    Validation MSELoss: 7.924301e-05    Training MSELoss: 1.051523e-04
Epoch 85    Validation MSELoss: 1.272876e-04    Training MSELoss: 9.783662e-05
Epoch 86    Validation MSELoss: 1.127377e-04    Training MSELoss: 1.109925e-04
Epoch 87    Validation MSELoss: 9.650063e-05    Training MSELoss: 1.015789e-04
Epoch 88    Validation MSELoss: 1.027501e-04    Training MSELoss: 9.519525e-05
Epoch 89    Validation MSELoss: 1.159479e-04    Training MSELoss: 9.825871e-05
Epoch 90    Validation MSELoss: 9.378613e-05    Training MSELoss: 9.428617e-05
Epoch 91    Validation MSELoss: 1.155338e-04    Training MSELoss: 9.893651e-05
Epoch 92    Validation MSELoss: 1.274936e-04    Training MSELoss: 9.402235e-05
Epoch 93    Validation MSELoss: 1.285771e-04    Training MSELoss: 9.946649e-05
Epoch 94    Validation MSELoss: 9.583082e-05    Training MSELoss: 1.021096e-04
Epoch 95    Validation MSELoss: 1.047044e-04    Training MSELoss: 9.941508e-05
Epoch 96    Validation MSELoss: 1.287380e-04    Training MSELoss: 9.413822e-05
Epoch 97    Validation MSELoss: 1.389921e-04    Training MSELoss: 9.334993e-05
Epoch 98    Validation MSELoss: 9.083323e-05    Training MSELoss: 9.432697e-05
Epoch 99    Validation MSELoss: 7.939721e-05    Training MSELoss: 9.782374e-05
Epoch 100    Validation MSELoss: 1.359313e-04    Training MSELoss: 9.632682e-05
Epoch 101    Validation MSELoss: 9.251302e-05    Training MSELoss: 1.020905e-04
Epoch 102    Validation MSELoss: 1.626265e-04    Training MSELoss: 9.080393e-05
Epoch 103    Validation MSELoss: 8.903040e-05    Training MSELoss: 9.721663e-05
Epoch 104    Validation MSELoss: 9.815775e-05    Training MSELoss: 9.501690e-05
Epoch 105    Validation MSELoss: 7.495996e-05    Training MSELoss: 9.543585e-05
Epoch 106    Validation MSELoss: 8.282356e-05    Training MSELoss: 8.890112e-05
Epoch 107    Validation MSELoss: 8.333924e-05    Training MSELoss: 9.910564e-05
Epoch 108    Validation MSELoss: 1.020930e-04    Training MSELoss: 9.511185e-05
Epoch 109    Validation MSELoss: 2.120878e-04    Training MSELoss: 9.771262e-05
Epoch 110    Validation MSELoss: 7.580897e-05    Training MSELoss: 8.874205e-05
Epoch 111    Validation MSELoss: 9.583068e-05    Training MSELoss: 9.083622e-05
Epoch 112    Validation MSELoss: 7.628473e-05    Training MSELoss: 1.047184e-04
Epoch 113    Validation MSELoss: 8.705410e-05    Training MSELoss: 9.356311e-05
Epoch 114    Validation MSELoss: 8.078217e-05    Training MSELoss: 1.031153e-04
Epoch 115    Validation MSELoss: 8.826115e-05    Training MSELoss: 9.366348e-05
Epoch 116    Validation MSELoss: 9.628056e-05    Training MSELoss: 9.762280e-05
Epoch 117    Validation MSELoss: 6.378833e-05    Training MSELoss: 9.749075e-05
Epoch 118    Validation MSELoss: 1.044173e-04    Training MSELoss: 9.172648e-05
Epoch 119    Validation MSELoss: 1.619828e-04    Training MSELoss: 9.094877e-05
Epoch 120    Validation MSELoss: 9.295299e-05    Training MSELoss: 8.753937e-05
Epoch 121    Validation MSELoss: 2.562803e-04    Training MSELoss: 9.384639e-05
Epoch 122    Validation MSELoss: 8.125816e-05    Training MSELoss: 8.832618e-05
Epoch 123    Validation MSELoss: 1.086470e-04    Training MSELoss: 9.628891e-05
