Epoch 0    Validation MSELoss: 1.259041e-02    Training MSELoss: 1.654579e-02
Epoch 1    Validation MSELoss: 7.623986e-03    Training MSELoss: 9.300746e-03
Epoch 2    Validation MSELoss: 3.961605e-03    Training MSELoss: 3.271210e-02
Epoch 3    Validation MSELoss: 1.105283e-02    Training MSELoss: 7.026565e-03
Epoch 4    Validation MSELoss: 3.255068e-03    Training MSELoss: 1.491967e-02
Epoch 5    Validation MSELoss: 3.048854e-03    Training MSELoss: 5.916856e-03
Epoch 6    Validation MSELoss: 3.056628e-03    Training MSELoss: 6.443993e-03
Epoch 7    Validation MSELoss: 2.411344e-03    Training MSELoss: 5.065167e-03
Epoch 8    Validation MSELoss: 9.614493e-03    Training MSELoss: 4.774911e-03
Epoch 9    Validation MSELoss: 4.488552e-03    Training MSELoss: 7.498242e-03
Epoch 10    Validation MSELoss: 3.577678e-03    Training MSELoss: 6.309579e-03
Epoch 11    Validation MSELoss: 4.863802e-03    Training MSELoss: 4.699786e-03
Epoch 12    Validation MSELoss: 1.221259e-03    Training MSELoss: 4.922830e-03
Epoch 13    Validation MSELoss: 2.260600e-03    Training MSELoss: 4.911432e-03
Epoch 14    Validation MSELoss: 2.193440e-03    Training MSELoss: 8.392563e-02
Epoch 15    Validation MSELoss: 1.564099e-02    Training MSELoss: 2.647243e-01
Epoch 16    Validation MSELoss: 5.593380e-04    Training MSELoss: 2.925442e-03
Epoch 17    Validation MSELoss: 1.565551e-03    Training MSELoss: 2.037646e-01
Epoch 18    Validation MSELoss: 1.770064e-04    Training MSELoss: 2.426095e-03
Epoch 19    Validation MSELoss: 2.378860e-04    Training MSELoss: 2.603949e-03
