Epoch 0    Validation MSELoss: 5.463622e-02    Training MSELoss: 6.380084e-02
Epoch 1    Validation MSELoss: 1.335857e-02    Training MSELoss: 1.710691e-02
Epoch 2    Validation MSELoss: 7.092567e-03    Training MSELoss: 9.425916e-03
Epoch 3    Validation MSELoss: 4.027152e-03    Training MSELoss: 8.899289e-02
Epoch 4    Validation MSELoss: 5.302875e-03    Training MSELoss: 6.082350e-03
Epoch 5    Validation MSELoss: 2.305098e-03    Training MSELoss: 4.890615e-03
Epoch 6    Validation MSELoss: 3.029513e-03    Training MSELoss: 4.557701e-03
Epoch 7    Validation MSELoss: 2.833703e-03    Training MSELoss: 4.243167e-03
Epoch 8    Validation MSELoss: 1.862213e-03    Training MSELoss: 1.373625e-02
Epoch 9    Validation MSELoss: 1.586739e-03    Training MSELoss: 4.310140e-03
Epoch 10    Validation MSELoss: 1.627567e-03    Training MSELoss: 3.388176e-03
Epoch 11    Validation MSELoss: 1.250688e-03    Training MSELoss: 4.063138e-02
Epoch 12    Validation MSELoss: 1.294923e-03    Training MSELoss: 2.994251e-03
Epoch 13    Validation MSELoss: 8.296793e-04    Training MSELoss: 2.806730e-03
Epoch 14    Validation MSELoss: 6.520790e-04    Training MSELoss: 5.651819e-03
Epoch 15    Validation MSELoss: 5.527271e-04    Training MSELoss: 5.924981e-02
Epoch 16    Validation MSELoss: 4.300516e-04    Training MSELoss: 1.021880e-02
Epoch 17    Validation MSELoss: 4.626446e-04    Training MSELoss: 2.606764e-03
Epoch 18    Validation MSELoss: 4.903151e-04    Training MSELoss: 2.133811e-03
Epoch 19    Validation MSELoss: 4.436754e-04    Training MSELoss: 6.945274e-02
