Epoch 0    Validation MSELoss: 2.108079e-01    Training MSELoss: 2.246999e-01
Epoch 1    Validation MSELoss: 2.875536e-02    Training MSELoss: 3.895223e-02
Epoch 2    Validation MSELoss: 9.697269e-03    Training MSELoss: 1.526420e-02
Epoch 3    Validation MSELoss: 9.345351e-03    Training MSELoss: 3.319347e-01
Epoch 4    Validation MSELoss: 4.020222e-03    Training MSELoss: 4.666816e-02
Epoch 5    Validation MSELoss: 3.236086e-03    Training MSELoss: 6.689741e-03
Epoch 6    Validation MSELoss: 2.551284e-03    Training MSELoss: 6.860453e-03
Epoch 7    Validation MSELoss: 2.346597e-03    Training MSELoss: 5.035925e-03
Epoch 8    Validation MSELoss: 1.569091e-03    Training MSELoss: 4.098308e-03
Epoch 9    Validation MSELoss: 1.276070e-03    Training MSELoss: 3.955686e-03
Epoch 10    Validation MSELoss: 1.584089e-03    Training MSELoss: 3.995477e-03
Epoch 11    Validation MSELoss: 9.351425e-04    Training MSELoss: 3.602133e-03
Epoch 12    Validation MSELoss: 1.085159e-03    Training MSELoss: 5.068668e-03
Epoch 13    Validation MSELoss: 1.686255e-03    Training MSELoss: 3.150414e-01
Epoch 14    Validation MSELoss: 9.850926e-04    Training MSELoss: 3.075343e-03
Epoch 15    Validation MSELoss: 5.608409e-04    Training MSELoss: 3.520114e-03
Epoch 16    Validation MSELoss: 4.719035e-04    Training MSELoss: 4.209377e-03
Epoch 17    Validation MSELoss: 5.283891e-04    Training MSELoss: 2.692883e-03
Epoch 18    Validation MSELoss: 6.162238e-04    Training MSELoss: 1.986763e-02
Epoch 19    Validation MSELoss: 4.678490e-04    Training MSELoss: 2.489820e-03
